id,label,tweet
0,2,! <user> as a woman you should not complain about cleaning up your house and as a man you should always take the trash out
1,1,! <user> boy dats cold tyga dwn bad for cuffin dat hoe in the 1 st place !
2,1,! <user> dawg ! <user> you ever fuck a bitch and she start to cry ? you be confused as shit
3,1,! <user> <user> she look like a tranny
4,1,! <user> the shit you hear about me might be true or it might be faker than the bitch who told it to ya 
5,1,! <user> the shit just blows me claim you so faithful and down for somebody but still fucking with hoes ! <emotion> <emotion> <emotion>
6,1,! <user> i can not just sit up and hate on another bitch i got too much shit going on !
7,1,! “ <user> cause i am tired of you big bitches coming for us skinny girls ! ”
8,1,and you might not get ya bitch back and thats that
9,1,<user> hobbies include fighting mariam bitch
10,1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,1,murda gang bitch its gang land
12,1,so hoes that smoke are losers ? yea go on ig
13,1,bad bitches is the only thing that i like
14,1,bitch get up off me
15,1,bitch nigga miss me with it
16,1,bitch plz whatever
17,1,bitch who do you love
18,1,bitches get cut off everyday b
19,1,black bottle and a bad bitch
20,1,broke bitch cant tell me nothing
21,1,cancel that bitch like nino
22,1,cant you see these hoes wont change
23,1,fuck no that bitch dont even suck dick <emotion> <emotion> <emotion> the kermit videos bout to fuck ig up
24,1,got ya bitch tip toeing on my hardwood floors <emotion> <url>
25,1,her pussy lips like heaven doors <emotion>
26,1,hoe what its hitting for
27,1,i met that pussy on ocean dr i gave that pussy a pill <emotion>
28,1,i need a trippy bitch who fuck on hennessy
29,1,i spend my money how i want bitch its my business
30,1,i txt my old bitch my new bitch pussy wetter
31,1,i d say im back to the old me but my old bitches would get excited <emotion>
32,1,if you aint bout that murder game pussy nigga shut up
33,1,if you are toes ain t done you pussy stinks
34,1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
35,1,is that ya bitch
36,1,it aint nothing to cut a bitch off
37,1,jus meet son now he ya mane ass bitches shots
38,1,lames crying over hoes thats tears of a clown
39,1,like snoop said in <number> we dont love these hoes
40,2,momma said no pussy cats inside my doghouse
41,1,most hated but the hoes favorite 2 mw seven one <url>
42,1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick <url>
43,1,pimps up pimps up hoes down future voice
44,1,post a picture of that pussy get <number> likes
45,1,pussy is a powerful drug <emotion> happy hump day <url>
46,1,quick piece of pussy call it a drive by
47,1,running round here like some brand new pussy thats bout to get fucked
48,1,these bitches even worst they will send them guys for you
49,1,these hoes like niggas that spend money not talk bout it
50,1,we dont trust these niggas all these bitches
51,1,yall niggas b cuffing hoes cause yall aint never have bitches
52,1,you dodge a bullet <emotion> “ <user> all da bitches i cut off pregnant or bound to be thank god <emotion> ”
